누적확진률,누적검사,누적검사완료,치료중,격리해제,사망자,확진자,검사진행,음성,기준일,기준날짜,년,월,일,전날대비확진자,확진자증감,확진s,로그
5.557314756,109591,75792,,31,22,4212,33799,71580,20200302,2020-03-02,2020,3,2,4212,4212,100,3.624488363
5.329139718,125851,90296,4159,34,28,4812,35555,85484,20200303,2020-03-03,2020,3,3,600,-3612,14.24501425,3.682325619
4.919985595,136707,108293,4750,41,32,5328,28414,102965,20200304,2020-03-04,2020,3,4,516,-84,10.72319202,3.726564216
4.622748154,146541,124731,5255,88,35,5766,21810,118965,20200305,2020-03-05,2020,3,5,438,-78,8.220720721,3.760874638
4.397234584,164740,142908,5643,108,42,6284,21832,136624,20200306,2020-03-06,2020,3,6,518,80,8.983697537,3.798236176
4.267542836,178189,158569,6134,118,44,6767,19620,151802,20200307,2020-03-07,2020,3,7,483,-35,7.686187142,3.830396176
4.21775786,188518,169142,6605,130,50,7134,19376,162008,20200308,2020-03-08,2020,3,8,367,-116,5.423378159,3.853333105
4.120339361,196618,179160,6954,166,51,7382,17458,171778,20200309,2020-03-09,2020,3,9,248,-119,3.476310625,3.868174041
3.919308057,210144,191692,7165,247,54,7513,18452,184179,20200310,2020-03-10,2020,3,10,131,-117,1.774586833,3.875813389
3.804174536,222395,203855,7212,288,60,7755,18540,196100,20200311,2020-03-11,2020,3,11,242,111,3.221083455,3.889581802
3.621744273,234998,217271,7407,333,66,7869,17727,209402,20200312,2020-03-12,2020,3,12,114,-128,1.470019342,3.895919545
3.458499309,248647,230707,7470,510,67,7979,17940,222728,20200313,2020-03-13,2020,3,13,110,-4,1.397890456,3.901948465
3.318000336,261335,243701,7402,714,72,8086,17634,235615,20200314,2020-03-14,2020,3,14,107,-3,1.341020178,3.907733737
3.239660237,268212,251940,7300,834,75,8162,16272,243778,20200315,2020-03-15,2020,3,15,76,-31,0.939896117,3.91179659
3.173392208,274504,259533,7253,1137,75,8236,14971,251297,20200316,2020-03-16,2020,3,16,74,-2,0.906640529,3.915716338
3.088057901,286716,269425,7024,1401,81,8320,17291,261105,20200317,2020-03-17,2020,3,17,84,10,1.019912579,3.920123326
3.012162506,295647,279301,6838,1540,84,8413,16346,270888,20200318,2020-03-18,2020,3,18,93,9,1.117788462,3.924950889
2.942085738,307024,291120,6789,1947,91,8565,15904,282555,20200319,2020-03-19,2020,3,19,152,59,1.806727683,3.932727367
2.873091828,316664,301139,6527,2233,94,8652,15525,292487,20200320,2020-03-20,2020,3,20,87,-65,1.015761821,3.937116511
2.82195603,327509,311805,6325,2612,102,8799,15704,303006,20200321,2020-03-21,2020,3,21,147,60,1.699029126,3.944433318
2.804501324,331780,317240,6085,2909,104,8897,14540,308343,20200322,2020-03-22,2020,3,22,98,-49,1.113762928,3.949243591
2.762262336,338036,324408,5884,3166,111,8961,13628,315447,20200323,2020-03-23,2020,3,23,64,-34,0.719343599,3.952356477
2.712657065,348582,333142,5684,3507,120,9037,15440,324105,20200324,2020-03-24,2020,3,24,76,12,0.84811963,3.956024282
2.659057442,357896,343618,5410,3730,126,9137,14278,334481,20200325,2020-03-25,2020,3,25,100,24,1.106561912,3.960803625
2.635970254,364942,350573,5281,4144,131,9241,14369,341332,20200326,2020-03-26,2020,3,26,104,4,1.138229178,3.96571897
2.579739151,376961,361742,4966,4528,139,9332,15219,352410,20200327,2020-03-27,2020,3,27,91,-13,0.984741911,3.96997473
2.552233541,387925,371361,4665,4811,144,9478,16564,361883,20200328,2020-03-28,2020,3,28,146,55,1.564509216,3.976716704
2.527742388,394141,379113,4523,5033,152,9583,15028,369530,20200329,2020-03-29,2020,3,29,105,-41,1.107828656,3.981501488
2.531290694,395194,381663,4398,5228,158,9661,13531,372002,20200330,2020-03-30,2020,3,30,78,-27,0.813941354,3.985022082
2.485825764,410564,393672,4275,5408,162,9786,16892,383886,20200331,2020-03-31,2020,3,31,125,47,1.293861919,3.990605211
2.441463644,421547,404962,4216,5567,165,9887,16585,395075,20200401,2020-04-01,2020,4,1,101,-24,1.032086654,3.995064534
2.410488622,431743,413858,4155,5828,169,9976,17885,403882,20200402,2020-04-02,2020,4,2,89,-12,0.900171943,3.99895644
2.371072072,443273,424365,3979,6021,174,10062,18908,414303,20200403,2020-04-03,2020,4,3,86,-3,0.862068966,4.002684313
2.33531392,455032,434888,3867,6325,177,10156,20144,424732,20200404,2020-04-04,2020,4,4,94,8,0.934207911,4.006722692
2.317835811,461233,441662,3654,6463,183,10237,19571,431425,20200405,2020-04-05,2020,4,5,81,-13,0.797558094,4.010172703
2.298054341,466804,447509,3591,6598,186,10284,19295,437225,20200406,2020-04-06,2020,4,6,47,-34,0.459118882,4.012162068
2.262325524,477304,456654,3500,6694,192,10331,20650,446323,20200407,2020-04-07,2020,4,7,47,0,0.457020615,4.014142362
2.218116182,486003,468145,3445,6776,200,10384,17858,457761,20200408,2020-04-08,2020,4,8,53,6,0.513019069,4.016364679
2.175074395,494711,479202,3408,6973,204,10423,15509,468779,20200409,2020-04-09,2020,4,9,39,-14,0.375577812,4.017992738
2.142477853,503051,487753,3246,7117,208,10450,15298,477303,20200410,2020-04-10,2020,4,10,27,-12,0.259042502,4.01911629
2.111162368,510479,496409,3125,7243,211,10480,14070,485929,20200411,2020-04-11,2020,4,11,30,3,0.28708134,4.020361283
2.098903227,514621,500833,3026,7368,214,10512,13788,490321,20200412,2020-04-12,2020,4,12,32,2,0.305343511,4.021685352
2.08508129,518743,505352,2930,7447,217,10537,13391,494815,20200413,2020-04-13,2020,4,13,25,-7,0.23782344,4.02271698
2.060114628,527438,512787,2873,7534,222,10564,14651,502223,20200414,2020-04-14,2020,4,14,27,2,0.256239916,4.023828393
2.038589022,534552,519526,2808,7616,225,10591,15026,508935,20200415,2020-04-15,2020,4,15,27,0,0.255585006,4.024936968
2.023423901,538775,524507,2750,7757,229,10613,14268,513894,20200416,2020-04-16,2020,4,16,22,-5,0.207723539,4.025838164
1.998019828,546463,532277,2627,7829,230,10635,14186,521642,20200417,2020-04-17,2020,4,17,22,0,0.207292943,4.026737494
1.968098078,554834,541284,2576,7937,232,10653,13550,530631,20200418,2020-04-18,2020,4,18,18,-4,0.169252468,4.027471927
1.949472083,559109,546866,2484,8042,234,10661,12243,536205,20200419,2020-04-19,2020,4,19,8,-10,0.075096217,4.027797943
1.937015247,563035,551054,2385,8114,236,10674,11981,540380,20200420,2020-04-20,2020,4,20,13,5,0.121939781,4.028327198
1.913511364,571014,558293,2324,8213,237,10683,12721,547610,20200421,2020-04-21,2020,4,21,9,-4,0.084317032,4.028693228
1.88994023,577959,565838,2233,8277,238,10694,12121,555144,20200422,2020-04-22,2020,4,22,11,2,0.102967331,4.02914018
1.865005786,583971,573832,2179,8411,240,10702,10139,563130,20200423,2020-04-23,2020,4,23,8,-3,0.074808304,4.029464947
1.846461581,589520,579920,2051,8501,240,10708,9600,569212,20200424,2020-04-24,2020,4,24,6,-2,0.056064287,4.029708363
1.829316166,595161,585902,1967,8635,240,10718,9259,575184,20200425,2020-04-25,2020,4,25,10,4,0.093388121,4.030113753
1.820508208,598285,589286,1843,8717,242,10728,8999,578558,20200426,2020-04-26,2020,4,26,10,0,0.093300989,4.030518765
1.811510464,601660,592765,1769,8764,243,10738,8895,582027,20200427,2020-04-27,2020,4,27,10,0,0.093214019,4.0309234
1.794060179,608514,599311,1731,8854,244,10752,9203,588559,20200428,2020-04-28,2020,4,28,14,4,0.130378096,4.031489256
1.776064962,614197,605890,1654,8922,246,10761,8307,595129,20200429,2020-04-29,2020,4,29,9,-5,0.083705357,4.031852631
1.761153838,619881,611247,1593,9059,247,10765,8634,600482,20200430,2020-04-30,2020,4,30,4,-5,0.037171267,4.032014034
1.753626397,623069,614384,1459,9072,248,10774,8685,603610,20200501,2020-05-01,2020,5,1,9,5,0.083604273,4.032376971
1.741332911,627562,619066,1454,9123,250,10780,8496,608286,20200502,2020-05-02,2020,5,2,6,-3,0.055689623,4.032618761
1.734135623,630973,622385,1407,9183,250,10793,8588,611592,20200503,2020-05-03,2020,5,3,13,7,0.120593692,4.033142177
