,중식메뉴,,,,,,
0,청포묵무침,오징어찌개,쇠불고기,계란찜,,,
1,마늘쫑무침,김치찌개,모둠소세지구이,가자미튀김,,,
2,견과류조림,카레덮밥,쫄면야채무침,치킨핑거,,,
3,주꾸미볶음,시금치나물,부추전,,,,
4,떡국,우엉잡채,청경채무침,돈육씨앗강정,,,
5,도토리묵무침,쌈무,양파절임,훈제오리구이,,,
6,꽃게탕,옥수수전,유채나물,돈육굴소스볶음,,,
7,닭감자조림,콩나물무침,연두부,,,,
8,탕수어,오징어숙회무침,취나물,,,,
9,쇠고기장조림,통도라지구이,치커리무침,,,,
10,해초무침,낙지비빔밥,고구마치즈구이,,,,
11,새송이버섯볶음,돌나물무침,치킨무,마늘간장치킨,대구찌개,,
12,호박꼬지&고사리&무나물,갈치구이,부럼,파래김,,,
13,꽃상추무침,돈육간장볶음,버섯잡채,,,,
14,비빔밥,맛탕,소세지피망볶음,,,,
15,곰피초장,닭갈비,새싹두부구이,,,,
16,도라지초무침,오징어볶음,계란찜,,,,
17,늙은호박전,제육볶음,치커리생채,,,,
18,주꾸미볶음,맛살계란말이,아삭고추무침,,,,
19,탕수육,새송이버섯조림,무생채,,,,
20,메추리알조림,열무된장나물,부대찌개,가자미튀김,,,
21,모둠묵,닭갈비,톳두부무침,,,,
22,소세지구이,풋마늘초무침,차돌박이찌개,고등어김치말이,,,
23,돈육장조림,홍어무침,시금치나물,,,,
24,고추장찌개,해물파전,취나물,닭데리야끼조림,,,
25,수제돈가스,탕평채,쫄면무침,,,,
26,돈육고추장볶음,콩나물파채무침,모둠양채쌈,,,,
27,소불고기,마늘쫑볶음,골뱅이무침,,,,
28,무나물,두부계란부침,미니채소떡갈비,,,,
29,탕수어,깻순나물,파래김,,,,
30,쌈무,부추생채,연근땅콩조림,훈제오리구이,,,
31,도토리묵무침,꽃게탕,계란말이,버섯불고기,,,
32,코다리강정,두부&김치볶음,유채나물,,,,
33,실곤약초무침,치킨텐더,땅콩조림,,,,
34,시래기나물,쇠고기장조림,오징어초무침,,,,
35,비엔나볶음,닭개장,열무나물,자반고등어구이,,,
36,해파리냉채,닭갈비,취나물,,,,
37,주꾸미볶음,새송이버섯전,치커리유자청생채,,,,
38,알감자버터구이,봄새싹비빔밥,오징어튀김,,,,
39,동태전,봄동나물,돈육굴소스볶음,,,,
